state,electoral_votes,trump_poll,biden_poll,poll_available
Alabama,9,58,38,TRUE
Alaska,3,48,45,TRUE
Arizona,11,45.1,48.3,TRUE
Arkansas,6,47,45,TRUE
California,55,29.5,61,TRUE
Colorado,9,45,55,TRUE
Connecticut,7,33,56,TRUE
Delaware,3,37,58,TRUE
District of Columbia,3,4,93,FALSE
Florida,29,47.4,48.7,TRUE
Georgia,16,46.2,45.2,TRUE
Hawaii,4,29,56,TRUE
Idaho,4,59,28,FALSE
Illinois,20,39,55,FALSE
Indiana,11,53,39,TRUE
Iowa,6,46,46,TRUE
Kansas,6,48,41,TRUE
Kentucky,8,58,38,TRUE
Louisiana,8,54,38,TRUE
Maine,4,53.8,38.5,TRUE
Maryland,10,30,62,TRUE
Massachusetts,11,28.3,64,TRUE
Michigan,16,48.5,43.3,TRUE
Minnesota,10,41,50.4,TRUE
Mississippi,6,56,41,TRUE
Missouri,10,51.3,43.3,TRUE
Montana,3,49,42,TRUE
Nebraska,5,60,34,FALSE
Nevada,6,41.5,49,TRUE
New Hampshire,4,42.5,48,TRUE
New Jersey,14,36,54.8,TRUE
New Mexico,5,39,53.5,TRUE
New York,29,32,58.3,TRUE
North Carolina,15,45.9,46.7,TRUE
North Dakota,3,64,28,FALSE
Ohio,18,45.7,49,TRUE
Oklahoma,7,60,35,TRUE
Oregon,7,39,51,TRUE
Pennsylvania,20,44.5,48.8,TRUE
Rhode Island,4,40,55,FALSE
South Carolina,9,51,45,TRUE
South Dakota,3,62,32,FALSE
Tennessee,11,53,39,TRUE
Texas,38,48.2,44.6,TRUE
Utah,6,53,35,TRUE
Vermont,3,32,56,TRUE
Virginia,13,40.3,51.3,TRUE
Washington,12,28,62,TRUE
West Virginia,5,69,26,FALSE
Wisconsin,10,43.7,50.3,TRUE
Wyoming,3,70,22,FALSE